# This file contains the data of all generations.
# of objectives = 2, # of constraints = 1, # of real_var = 54, # of bits of bin_var = 0
# gen = 1
  10.894313   0.006622		-523.455200
   3.049574   0.002814		-876.250183
   6.781459   0.013780		-475.397278
  11.741533   0.005245		-784.756958
   9.474536   0.010217		-592.982239
  12.741885   0.012263		-252.871613
  10.513169   0.002953		-637.589905
   7.415771   0.003335		-951.807129
   9.650940   0.014323		-732.640381
   9.840461   0.006732		-744.791565
   7.865570   0.004017		-646.908752
   9.890092   0.015620		-497.841614
   6.609224   0.012269		-377.392792
   5.593942   0.010228		-339.585419
   4.328918   0.004449		-439.169983
  10.275482   0.003516		-505.631653
   6.960142   0.005383		-438.060852
   7.640962   0.011613		-690.768372
   6.821232   0.008356		-366.123352
  10.854307   0.010919		-373.762604
  12.307018   0.002832		-815.641846
   3.243387   0.005943		-410.439026
  10.950030   0.008440		-491.580658
   9.876218   0.008831		-289.956787
  10.131337   0.020413		-253.945648
   6.113688   0.012402		-411.296143
   5.439528   0.003423		-251.175995
  11.707161   0.007683		-385.079163
# end gen = 1
# gen = 2
   8.957013   0.007691		-186.471542
  12.562656   0.011545		-203.096710
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
  12.741885   0.012263		-252.871613
  10.131337   0.020413		-253.945648
   9.876218   0.008831		-289.956787
   5.593942   0.010228		-339.585419
   6.821232   0.008356		-366.123352
   8.848610   0.012695		-370.700378
  10.854307   0.010919		-373.762604
   6.609224   0.012269		-377.392792
  11.707161   0.007683		-385.079163
  11.707161   0.007683		-385.079163
   3.243387   0.005943		-410.439026
   6.113688   0.012402		-411.296143
   6.960142   0.005383		-438.060852
   4.328918   0.004449		-439.169983
  15.192683   0.008048		-475.101013
   6.781459   0.013780		-475.397278
  13.617295   0.006761		-490.797058
  10.950030   0.008440		-491.580658
   9.156772   0.003857		-497.114502
   9.890092   0.015620		-497.841614
  12.906424   0.005392		-503.660889
  10.275482   0.003516		-505.631653
  15.279325   0.005802		-521.271912
  13.528819   0.005301		-521.963745
# end gen = 2
# gen = 3
   8.957013   0.007691		-186.471542
  12.562656   0.011545		-203.096710
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
  12.741885   0.012263		-252.871613
  10.131337   0.020413		-253.945648
   7.520322   0.005444		-278.464630
   9.876218   0.008831		-289.956787
  10.735645   0.007989		-301.498444
  11.041178   0.002984		-339.359924
   5.593942   0.010228		-339.585419
   6.821232   0.008356		-366.123352
   8.848610   0.012695		-370.700378
  13.118417   0.005921		-372.512024
  10.854307   0.010919		-373.762604
   6.609224   0.012269		-377.392792
  11.707161   0.007683		-385.079163
  11.707161   0.007683		-385.079163
  10.146737   0.005729		-398.718689
   3.243387   0.005943		-410.439026
   6.113688   0.012402		-411.296143
  11.927501   0.006593		-417.658905
   6.960142   0.005383		-438.060852
   4.328918   0.004449		-439.169983
   6.991507   0.019437		-445.425385
  11.013583   0.004571		-453.660248
   9.988911   0.005666		-470.564148
# end gen = 3
# gen = 4
   8.957013   0.007691		-186.471542
  12.382744   0.016165		-191.643204
  12.562656   0.011545		-203.096710
  12.562656   0.011545		-203.096710
  12.441868   0.007033		-219.874298
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
   5.439528   0.003423		-251.175995
  12.741885   0.012263		-252.871613
  12.741885   0.012263		-252.871613
  10.131337   0.020413		-253.945648
   7.520322   0.005444		-278.464630
   9.876218   0.008831		-289.956787
  10.735645   0.007989		-301.498444
  12.245226   0.009651		-304.034668
  10.504635   0.005842		-318.520447
  14.379897   0.006918		-334.566833
  11.041178   0.002984		-339.359924
   5.593942   0.010228		-339.585419
   5.593942   0.010228		-339.585419
   6.821232   0.008356		-366.123352
   8.848610   0.012695		-370.700378
  14.515455   0.006399		-372.327057
  13.118417   0.005921		-372.512024
  10.854307   0.010919		-373.762604
   6.609224   0.012269		-377.392792
  11.707161   0.007683		-385.079163
# end gen = 4
# gen = 5
   8.957013   0.007691		-186.471542
  12.382744   0.016165		-191.643204
