# This file contains the data of all generations.
# of objectives = 2, # of constraints = 1, # of real_var = 54, # of bits of bin_var = 0
# gen = 1
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
  10.614520   0.000000		-103.117722
   8.624098   0.000000		-104.320602
  14.653569   0.000000		-105.696136
  14.653569   0.000000		-105.696136
  14.653569   0.000000		-105.696136
  14.199939   0.000000		-106.626305
   9.174722   0.000000		-107.396576
  10.789937   0.000000		-108.389679
  10.789937   0.000000		-108.389679
  14.554138   0.000000		-119.846664
# end gen = 6
# gen = 7
   8.142571   0.000000		-46.142906
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.766866   0.000000		-84.088860
  10.766866   0.000000		-84.088860
  10.005665   0.000000		-88.845718
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
  10.614520   0.000000		-103.117722
# end gen = 7
# gen = 8
  13.937838   0.000000		-23.552734
   8.142571   0.000000		-46.142906
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.053738   0.000000		-78.081429
  10.766866   0.000000		-84.088860
  10.766866   0.000000		-84.088860
  10.370806   0.000000		-88.845718
  10.005665   0.000000		-88.845718
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
   8.459028   0.000000		-91.420624
# end gen = 8
# gen = 9
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
   8.142571   0.000000		-46.142906
   7.882001   0.000000		-70.977310
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
  10.034344   0.000000		-76.253242
# end gen = 9
# gen = 10
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
   8.142571   0.000000		-46.142906
   7.882001   0.000000		-70.977310
   7.882001   0.000000		-70.977310
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.224040   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.034344   0.000000		-76.253242
# end gen = 10
# gen = 11
  14.191046   0.000000		-20.508472
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
   8.142571   0.000000		-46.142906
   7.882001   0.000000		-70.977310
   7.882001   0.000000		-70.977310
  10.050903   0.000000		-70.977310
   7.882001   0.000000		-70.977310
   7.882001   0.000000		-70.977310
   7.882001   0.000000		-70.977310
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.224040   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
  10.224040   0.000000		-70.977440
   7.882000   0.000000		-70.977440
   7.882000   0.000000		-70.977440
# end gen = 11
# gen = 12
  13.807522   0.000000		0.000000
  14.097076   0.000000		-19.388123
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
   8.142571   0.000000		-46.142906
# end gen = 12
# gen = 13
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
  13.937838   0.000000		-23.552734
# end gen = 13
# gen = 14
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.807522   0.000000		0.000000
  13.966761   0.000000		0.000000
  14.060730   0.000000		0.000000
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.097076   0.000000		-19.388123
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
  14.191046   0.000000		-20.508472
